initial_tree_size,num_insertions,num_range_query,average_range_length,num_experiments,vblink_slab_out_of_place_insert,vblink_slab_out_of_place_concurrent_ops,blink_slab_insert,blink_slab_concurrent_ops,
40000000,2500000,2500000,556,20,329.003,69.1703,351.089,104.783,
40000000,2500000,2500000,560,20,331.13,67.7397,358.419,104.525,
40000000,2500000,2500000,564,20,330.983,68.3544,215.973,104.136,
40000000,2500000,2500000,568,20,235.673,67.6493,360.337,103.552,
40000000,2500000,2500000,572,20,328.961,68.28,209.029,104.107,
40000000,2500000,2500000,576,20,328.898,67.0614,357.291,102.558,
40000000,2500000,2500000,580,20,324.89,66.1061,363.517,101.461,
40000000,2500000,2500000,584,20,321.937,66.0881,354.714,101.126,
40000000,2500000,2500000,588,20,325.935,65.4086,353.595,100.175,
40000000,2500000,2500000,592,20,328.072,66.1297,363.75,100.965,
40000000,2500000,2500000,596,20,332.89,64.7983,356.625,99.1459,
40000000,2500000,2500000,600,20,323.886,64.7473,355.914,98.6644,
40000000,2500000,2500000,604,20,326.583,63.8689,350.481,97.5537,
40000000,2500000,2500000,608,20,320.26,63.5574,357.05,97.2207,
40000000,2500000,2500000,612,20,327.372,63.5511,351.127,96.8745,
40000000,2500000,2500000,616,20,330.64,63.2915,350.784,95.7614,
40000000,2500000,2500000,620,20,321.994,62.9646,353.402,95.5851,
40000000,2500000,2500000,624,20,326.278,62.0447,301.219,95.4656,
40000000,2500000,2500000,628,20,322.594,62.1782,349.268,94.4148,
40000000,2500000,2500000,632,20,327.27,61.4233,352.533,94.4183,
40000000,2500000,2500000,636,20,332.649,61.1153,351.605,93.6527,
40000000,2500000,2500000,640,20,327.524,60.2148,360.643,93.5842,
40000000,2500000,2500000,644,20,326.728,60.8737,341.682,91.9804,
40000000,2500000,2500000,648,20,325.845,60.5561,353.492,92.4709,
40000000,2500000,2500000,652,20,323.451,60.2147,364.46,92.1538,
40000000,2500000,2500000,656,20,324.808,59.3845,354.676,91.2551,
40000000,2500000,2500000,660,20,328.165,59.5394,352.969,90.637,
40000000,2500000,2500000,664,20,328.681,58.489,358.495,90.5359,
40000000,2500000,2500000,668,20,331.536,58.4805,356.689,89.987,
40000000,2500000,2500000,672,20,327.193,58.4751,354.603,89.4828,
40000000,2500000,2500000,676,20,317.81,58.3719,356.434,89.2115,
40000000,2500000,2500000,680,20,326.316,57.0778,354.279,88.6513,
40000000,2500000,2500000,684,20,331.215,57.1063,361.976,88.516,
40000000,2500000,2500000,688,20,329.864,57.4335,356.329,87.5513,
40000000,2500000,2500000,692,20,329.449,56.4724,208.282,87.2468,
40000000,2500000,2500000,696,20,322.075,56.2782,352.617,86.49,
40000000,2500000,2500000,700,20,325.361,55.9784,352.611,86.276,
40000000,2500000,2500000,704,20,326.57,56.2243,337.151,85.1802,
40000000,2500000,2500000,708,20,324.369,55.738,353.391,85.5432,
40000000,2500000,2500000,712,20,326.895,55.453,359.248,85.3892,
40000000,2500000,2500000,716,20,324.996,55.1969,288.758,85.0066,
40000000,2500000,2500000,720,20,327.297,55.2126,354.108,84.1153,
40000000,2500000,2500000,724,20,328.508,54.4235,355.135,84.0925,
40000000,2500000,2500000,728,20,326.068,54.0589,353.102,83.5448,
40000000,2500000,2500000,732,20,326.056,53.8179,356.089,83.4109,
40000000,2500000,2500000,736,20,326.909,54.0741,358.607,82.8948,
40000000,2500000,2500000,740,20,328.692,53.6265,350.91,82.3781,
40000000,2500000,2500000,744,20,331.534,52.9079,356.669,82.1471,
40000000,2500000,2500000,748,20,327.315,52.9701,352.11,81.7227,
40000000,2500000,2500000,752,20,330.348,53.0724,350.927,81.4147,
40000000,2500000,2500000,756,20,323.037,52.7779,355.657,81.1637,
40000000,2500000,2500000,760,20,326.98,52.6112,330.247,80.727,
40000000,2500000,2500000,764,20,326.279,52.0046,359.739,80.4701,
40000000,2500000,2500000,768,20,326.951,52.1835,220.324,79.4491,
40000000,2500000,2500000,772,20,327.664,51.178,346.58,79.3731,
40000000,2500000,2500000,776,20,325.184,51.6609,358.728,79.3343,
40000000,2500000,2500000,780,20,328.415,51.4478,362.715,78.9941,
40000000,2500000,2500000,784,20,330.7,50.706,361.662,78.577,
40000000,2500000,2500000,788,20,318.899,50.9902,302.255,78.2549,
40000000,2500000,2500000,792,20,330.815,50.7816,356.204,78.0506,
40000000,2500000,2500000,796,20,331.018,49.9162,207.312,77.7792,
40000000,2500000,2500000,800,20,326.642,49.5563,357.805,77.3277,
40000000,2500000,2500000,804,20,308.995,50.1203,350.759,76.7481,
40000000,2500000,2500000,808,20,333.445,49.7342,356.734,77.3348,
40000000,2500000,2500000,812,20,327.819,49.6393,239.432,76.4298,
40000000,2500000,2500000,816,20,330.644,49.361,356.232,76.5371,
40000000,2500000,2500000,820,20,327.715,49.2285,358.749,75.7552,
40000000,2500000,2500000,824,20,325.009,49.0614,360.655,75.4523,
40000000,2500000,2500000,828,20,325.617,48.7635,352.48,75.0551,
40000000,2500000,2500000,832,20,327.817,48.5144,358.264,74.6304,
40000000,2500000,2500000,836,20,326.626,48.311,357.745,74.5893,
40000000,2500000,2500000,840,20,323.911,47.8648,356.431,73.9688,
40000000,2500000,2500000,844,20,322.084,48.0129,352.311,73.5315,
40000000,2500000,2500000,848,20,330.058,47.7633,349.668,73.1087,
40000000,2500000,2500000,852,20,330.129,47.1562,364.473,73.3445,
40000000,2500000,2500000,856,20,321.972,47.435,351.799,72.8166,
40000000,2500000,2500000,860,20,323.134,46.9417,358.209,72.6691,
40000000,2500000,2500000,864,20,331.211,46.5505,223.136,72.3702,
40000000,2500000,2500000,868,20,324.152,46.6077,351.139,72.0419,
40000000,2500000,2500000,872,20,321.749,46.3302,341.623,71.7037,
40000000,2500000,2500000,876,20,313.54,45.8921,355.319,71.3246,
40000000,2500000,2500000,880,20,303.448,45.8192,356.923,71.0289,
40000000,2500000,2500000,884,20,328.979,45.6411,356.76,70.8969,
40000000,2500000,2500000,888,20,287.83,45.7744,342.946,70.6734,
